"","Text","Score","Positive","Negative"
"134","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"135","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"136","Watch Live PresidentTrump Holds FirstDays Rally in Harrisburg PABreitbart VOoDKkQGCT",0,0,0
"137","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"138","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"139","PresidentTrump
Video President Trumps FirstDays
hDszDwphUtcot PJNET",0,0,0
"140","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"141","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"142","PresidentTrump
Donald J Trump opinion In my firstdays I kept my promise to Americans yzmqKDrH",2,2,0
"143","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"144","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"145","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"146","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"147","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"148","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"149","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"150","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"151","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"152","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"153","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"154","Just amazing but completely expected They American people the patriots of our nation LOVE OUR PresidentTrump Gods ble",2,2,0
"155","PresidentTrump PennsylvaniaVP MikePence Under President Donald Trump the War on Coal Is Over
ecM",1,1,0
"156","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"157","PresidentTrump
CTHPrescient DC Lobbyists Talk Trump the end of life as we know it here
PcHeOEVXQ
tcot PJNET",1,1,0
"158","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"159","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"160","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"161","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"162","PresidentTrump PennsylvaniaVP MikePence Under President Donald Trump the War on Coal Is Over
ecM",1,1,0
"163","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"164","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"165","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"166","PresidentTrumpTrumpRally
Mocks WHCD Hollywood ActorsWashington Media Are Consoling Each Other",0,0,0
