"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4702","RT @ROCKONDUDE2: #PresidentTrump has proven he's a man of his word! He's keeping every one of his campaign promises, one by one! So awesome…",FALSE,0,NA,2017-04-29 05:08:42,FALSE,NA,"858186255909228544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cheryl_P12",117,TRUE,FALSE,NA,NA
"4703","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 05:07:43,FALSE,NA,"858186009586147328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marvin_hill123",526,TRUE,FALSE,NA,NA
"4704","RT @LElizaBria: AMEN! Yes, #PresidentTrump we're looking forward to reelecting you in 2020. You are doing your best to #MAGA! @realDonaldTr…",FALSE,0,NA,2017-04-29 05:06:50,FALSE,NA,"858185787040563200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LSkisquire",4,TRUE,FALSE,NA,NA
"4705","RT GIJoeOPS: #PresidentTrump absolutely looking at breaking-up #9thCircuit...<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>JUST DO IT!<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>

Thank you! #AmericaFir… https://t.co/74ZZ22xPxQ",FALSE,4,NA,2017-04-29 05:06:48,FALSE,NA,"858185778408677376",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis: turn sharing into growth</a>","GoldStarMomTX55",3,FALSE,FALSE,NA,NA
"4706","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 05:06:47,FALSE,NA,"858185774696726528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","THETRUMPBUREAU",526,TRUE,FALSE,NA,NA
"4707","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 05:05:45,FALSE,NA,"858185512921612290",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","strati",526,TRUE,FALSE,NA,NA
"4708","RT @LElizaBria: #PresidentTrump America wants you to #BuildThatWall! @realDonaldTrump we are looking forward to that beautiful physical bar…",FALSE,0,NA,2017-04-29 05:05:24,FALSE,NA,"858185423868358658",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","applachianmomma",8,TRUE,FALSE,NA,NA
"4709","RT @ANOMALY1: ""I Made My Promise &amp; Keep My Promise""
#PresidentTrump @POTUS<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Tells #Feds to “BEAT IT” Returns #Education to the STATES! Aboli…",FALSE,0,NA,2017-04-29 05:04:45,FALSE,NA,"858185261938753536",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IamDreamWeavers",663,TRUE,FALSE,NA,NA
"4710","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 05:04:24,FALSE,NA,"858185173229215744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sld_maga",526,TRUE,FALSE,NA,NA
"4711","RT @OverTheMoonbat: #PresidentTrump - #LawAndOrder
Sheriff David Clarke eyed for Homeland Security post: Sources
https://t.co/s5IT51Nq99
@W…",FALSE,0,NA,2017-04-29 05:04:03,FALSE,NA,"858185085220249600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Psysamurai33317",1,TRUE,FALSE,NA,NA
"4712","RT @OverTheMoonbat: #PresidentTrump - #MikePence
VP Mike Pence sponsors Bible study for Trump cabinet
https://t.co/V55rvrnGqC
| #Faith #tco…",FALSE,0,NA,2017-04-29 05:03:58,FALSE,NA,"858185066387841024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClownBellRings",4,TRUE,FALSE,NA,NA
